n_hidden,200
init_rate,30
decay_rate,1
mini_batch_size,100
dropoutPred,true
maxGrad,5e-05
-----
i	averageErr	auc	testPred	rate	clock
1	1.0617301351755	0.6745112922636	0.74291822554784	30	45.714892
2	6.583756335383	0.39350454827511	0.44450383039373	30	51.266328
3	11.770309951695	0.38660706429278	0.43826830571887	30	56.867109
4	12.260719033036	0.34991608040711	0.33386780687689	30	62.471475
5	15.136563267055	0.45381273974982	0.49652592196686	30	68.016815
6	11.191934734567	0.4663548835446	0.49492250133618	30	73.515164
7	9.0976820523446	0.54648582820346	0.55816853732407	30	78.921562
8	6.3066425998987	0.6254922568597	0.66239087831819	30	84.271948
9	4.6453822690819	0.63145151292421	0.64742561909852	30	89.614989
10	5.4985572184434	0.34814511694607	0.3928380545163	30	94.862705
11	6.5062007342702	0.62387699687252	0.65526456440406	30	100.155642
12	5.1266882931673	0.54252095045849	0.72581507215393	30	105.443879
13	6.2810147278541	0.55751010845925	0.72011402102263	10	110.737674
14	5.7550122727439	0.57993925928979	0.72314270443613	10	116.049493
15	5.6953911346882	0.58267241133979	0.73418849100303	10	121.331555
16	5.3768266976412	0.59038439458662	0.72029217887048	10	126.63083
17	5.1333892499335	0.58674032814834	0.70995902369499	10	131.910536
18	5.4094692009507	0.60340984065581	0.73507928024229	10	137.209846
19	5.1102346790532	0.60055099730365	0.71316586495635	10	142.5034
20	4.7695283140269	0.59724777754553	0.7156600748263	10	147.830377
21	4.8901163918102	0.60657109548188	0.71227507571709	10	153.099768
22	4.8202964085915	0.61619322670262	0.73258507037235	10	158.390924
23	4.5343170696447	0.61264941890875	0.69980402636736	10	163.674356
24	4.4900715721482	0.61470807397747	0.73294138606806	10	168.973522
25	4.2413023559584	0.63191273539928	0.73169428113308	5	174.253909
26	3.7269226147599	0.63512101202024	0.73133796543738	5	179.488583
27	3.6699576972299	0.63501298455755	0.73472296454659	5	184.819267
28	3.6974932525775	0.63279919845422	0.73205059682879	5	190.186722
29	3.6287584885976	0.62803159733773	0.73347585961162	5	195.516827
30	3.5114150847089	0.62985522520905	0.7327632282202	5	200.895655
31	3.5999555975207	0.63444782347151	0.73347585961162	5	206.233959
32	3.6230745763947	0.63017284721139	0.73311954391591	5	211.588804
33	3.5696638845341	0.62573750618643	0.7324069125245	5	216.954607
34	3.5794417216689	0.62595413355106	0.7327632282202	5	222.308838
35	3.5177672414917	0.63170600305584	0.73454480669874	5	227.665469
36	3.4971044199854	0.62974605286787	0.73383217530732	5	233.03658
37	3.5674427111679	0.63274162742187	0.73418849100303	1	238.373743
38	3.5186404547358	0.62833049239915	0.73490112239444	1	243.749717
39	3.4984075337439	0.63273827456345	0.73490112239444	1	249.213703
40	3.4547219553011	0.63344908054809	0.73614822732941	1	254.620828
41	3.5523412078285	0.62965658879203	0.73490112239444	1	260.036027
42	3.447369957403	0.62660712317224	0.73365401745947	1	265.451755
43	3.541053672841	0.62876955329786	0.73490112239444	1	270.882288
44	3.4844551042915	0.62818705548048	0.73579191163371	1	276.272263
45	3.5139060066056	0.6277232161403	0.73490112239444	1	281.676103
46	3.4766645989878	0.62620110019551	0.73597006948156	1	287.097607
47	3.4450084354289	0.62715224888481	0.73579191163371	1	292.483698
48	3.4438484784999	0.6270172350007	0.73721717441653	1	297.757095
49	3.4231196043785	0.6347575131015	0.73579191163371	1	303.067817
50	3.4432700422128	0.62894987165912	0.73632638517727	1	308.356308
51	3.5024846645326	0.62836696495658	0.73614822732941	1	313.639021
52	3.5014835940724	0.62989832170627	0.73579191163371	1	318.9258
53	3.4929532015853	0.62789388481149	0.73597006948156	1	324.205141
54	3.453182962607	0.62753660094737	0.73597006948156	1	329.495837
55	3.4349786819795	0.62718242461057	0.73454480669874	1	334.809219
56	3.4735084821873	0.62924426898364	0.73632638517727	1	340.102304
57	3.4926873801737	0.63417313441233	0.73490112239444	1	345.391616
58	3.4596280263651	0.63406911402434	0.73525743809015	1	350.710262
59	3.46394649571	0.62786518107235	0.73436664885088	1	356.042643
60	3.4936129203732	0.62734180805098	0.73490112239444	1	361.343792
61	3.4921521855156	0.63006203932952	0.73597006948156	1	366.618243
62	3.4650189960425	0.63208405828674	0.73525743809015	1	371.902294
63	3.510573106657	0.62833744344709	0.73347585961162	1	377.194868
64	3.4113655862462	0.6281249049342	0.73579191163371	1	382.489473
65	3.4615645698411	0.63185385593438	0.73507928024229	1	387.77891
66	3.4345167147459	0.63275274909857	0.73472296454659	1	393.057773
67	3.4128688354807	0.63654466841539	0.73632638517727	1	398.357896
68	3.4750050526806	0.63287247067721	0.73561375378585	1	403.667103
69	3.4377396105344	0.63074618600088	0.73721717441653	1	408.971331
70	3.4412485102035	0.64117578366114	0.73650454302512	1	414.271144
71	3.4526731594029	0.63182449797896	0.73561375378585	1	419.574315
72	3.3734852868579	0.63132852026419	0.73632638517727	1	424.854247
73	3.3276174162971	0.63568306557897	0.73597006948156	1	430.166413
74	3.4008536070276	0.62978685960813	0.735435595938	1	435.466496
75	3.4249291626735	0.62780229453275	0.73668270087297	1	440.764656
76	3.391969602864	0.63183161258097	0.73561375378585	1	446.04993
77	3.4410806123344	0.62982504948328	0.73650454302512	1	451.357394
78	3.4861890574839	0.63096158670999	0.73775164796009	1	456.682822
79	3.4184103707606	0.6338387481179	0.73739533226439	1	461.954679
80	3.4635736119356	0.63215242388766	0.73561375378585	1	467.252761
81	3.3856073755763	0.63984543486247	0.73597006948156	1	472.542735
82	3.3877589120879	0.63747390085941	0.735435595938	1	477.795905
83	3.3847681691862	0.63861199184977	0.73507928024229	1	483.126495
84	3.4013461550384	0.637555677894	0.73721717441653	1	488.432365
85	3.4412813737408	0.63149338276592	0.73792980580795	1	493.698206
86	3.4686576635939	0.6396301159304	0.73721717441653	1	499.004114
87	3.3889542733401	0.63091759066538	0.73668270087297	1	504.298966
88	3.4359896394555	0.64153306752526	0.73686085872083	1	509.580496
89	3.4238247353862	0.63771955907131	0.73597006948156	1	514.879619
90	3.4115466717039	0.64169711225664	0.73882059504721	1	520.166809
91	3.3951410367073	0.63332649677324	0.73757349011224	1	525.43595
92	3.4297610602866	0.64217902432147	0.73828612150365	1	530.675471
93	3.3590233947266	0.64030690266865	0.73775164796009	1	535.922084
94	3.4250466249243	0.64139241102577	0.73739533226439	1	541.162901
95	3.3928984536047	0.63859686309837	0.73882059504721	1	546.386144
96	3.3727741787851	0.63936303213543	0.73988954213433	1	551.681019
97	3.4001958029806	0.63769731571791	0.73757349011224	1	556.942611
98	3.426418048454	0.6384333090292	0.73935506859077	1	562.243251
99	3.3389518433811	0.63601867852892	0.73988954213433	1	567.552856
100	3.3503030999683	0.63291344097154	0.73864243719936	1	572.856395
101	3.3535236831463	0.63577334742515	0.73721717441653	1	578.145185
102	3.3709736587422	0.63612466156574	0.73828612150365	1	583.448924
103	3.3586747029018	0.63721646675453	0.73757349011224	1	588.73003
104	3.3592364858803	0.63731034679024	0.73882059504721	1	594.031951
105	3.3904236473795	0.6343255668048	0.73899875289507	1	599.323789
106	3.3562868695495	0.6337779877812	0.73739533226439	1	604.599911
107	3.3496947842791	0.63589094280089	0.73650454302512	1	609.912391
108	3.3985557340815	0.63296381562484	0.7381079636558	1	615.191658
109	3.39291264755	0.64020271872658	0.73721717441653	1	620.46951
110	3.3897933047361	0.63102921631759	0.73703901656868	1	625.759301
111	3.3707007053384	0.63764522374687	0.73721717441653	1	631.042406
112	3.3094661970863	0.63416062252604	0.73828612150365	1	636.338255
113	3.4047436541559	0.63993498071534	0.73775164796009	1	641.636506
114	3.3364555614902	0.63715456153934	0.73828612150365	1	647.065526
115	3.3512031384598	0.63655243723367	0.73686085872083	1	652.499514
116	3.3100949992214	0.63288203859026	0.73953322643862	1	657.840911
117	3.390406096055	0.638730732104	0.73864243719936	1	663.154183
118	3.3721523069382	0.63416348472225	0.73775164796009	1	668.464557
119	3.3399228757637	0.63592111852665	0.73917691074292	1	673.76708
120	3.2855633634287	0.63453123604679	0.73882059504721	1	679.092584
121	3.3361319125502	0.63611403055125	0.73988954213433	1	684.376432
122	3.3887797624582	0.63548933578403	0.73953322643862	1	689.684255
123	3.3735869375993	0.63703680260954	0.73864243719936	1	694.999168
124	3.3260284036317	0.63631438428599	0.73846427935151	1	700.25411
125	3.3814784287437	0.63664198308655	0.73899875289507	1	705.557042
126	3.3162680018367	0.63329640282451	0.73864243719936	1	710.866955
127	3.3016979315238	0.63479431276706	0.73882059504721	1	716.162231
128	3.3222636932499	0.63685730201862	0.73846427935151	1	721.477773
129	3.2529007040823	0.63801093064555	0.7407803313736	1	726.751247
130	3.3567347368135	0.63699926695066	0.73899875289507	1	732.031516
131	3.3277452343139	0.63765348322737	0.74024585783004	1	737.360056
132	3.3288704410016	0.6332654093284	0.73988954213433	1	742.662069
133	3.330730509198	0.63444381639682	0.73971138428648	1	747.967731
134	3.3212810706565	0.63711759831971	0.74095848922145	1	753.273814
135	3.3766318583553	0.63653019388026	0.73935506859077	1	758.575675
136	3.3048000713083	0.63868689961346	0.74024585783004	1	763.877865
137	3.3450930836467	0.6383292886412	0.73935506859077	1	769.229705
138	3.3199550809017	0.63514587223876	0.73846427935151	1	774.542545
139	3.3728762209328	0.63684421769308	0.74024585783004	1	779.826754
140	3.3357957111844	0.63822526825321	0.73846427935151	1	785.124137
141	3.310371728387	0.63795041563996	0.73988954213433	1	790.460469
142	3.2863065327325	0.63915580912978	0.73971138428648	1	795.766786
143	3.3412546962734	0.63990333300295	0.73971138428648	1	801.114383
144	3.3047685876876	0.63864453910954	0.74060217352574	1	806.430222
145	3.3072180844004	0.63861387272157	0.73971138428648	1	811.735921
146	3.3408287802495	0.63908425422452	0.74095848922145	1	817.017304
147	3.306048296197	0.64001626708772	0.74095848922145	1	822.304648
148	3.3117097141112	0.6384595594573	0.73757349011224	1	827.610818
149	3.2859561818908	0.63861289139715	0.73775164796009	1	832.917139
150	3.2719156013627	0.63835881015069	0.73703901656868	1	838.156936
151	3.2606602690753	0.63542595858222	0.73828612150365	1	843.408184
152	3.2737607058328	0.6360699527296	0.73917691074292	1	848.666731
153	3.3032583226474	0.63765282901109	0.73988954213433	1	853.94575
154	3.2752136225723	0.63953500923917	0.73935506859077	1	859.179187
155	3.3130609972945	0.64109899502567	0.73953322643862	1	864.409045
156	3.3194205547828	0.63706149927398	0.73828612150365	1	869.649079
157	3.2512445845843	0.63862311352648	0.73988954213433	1	874.892885
158	3.2980255027133	0.63740618947477	0.73971138428648	1	880.120583
159	3.3151571811625	0.63774441928983	0.73882059504721	1	885.363879
160	3.283408877101	0.63715889572218	0.73864243719936	1	890.638415
161	3.3274921710483	0.63750595745697	0.74006769998218	1	895.939343
162	3.3276421505354	0.63772209415939	0.74024585783004	1	901.20835
163	3.3285256703665	0.63958481145323	0.73935506859077	1	906.50035
164	3.303396697118	0.638683464978	0.74042401567789	1	911.800946
165	3.257859401308	0.63808003223978	0.73882059504721	1	917.107569
166	3.2332186978349	0.63824522184965	0.73971138428648	1	922.397529
167	3.2363080866062	0.63912350720112	0.7407803313736	1	927.637273
168	3.2340323769404	0.63745501036442	0.74024585783004	1	932.910046
169	3.3156954755329	0.63740422682594	0.73917691074292	1	938.146956
170	3.3530742363047	0.63694259546569	0.73971138428648	1	943.375089
171	3.2797852749945	0.63666627086582	0.74060217352574	1	948.610916
172	3.2834415378428	0.63944088387236	0.74131480491716	1	953.856767
173	3.2856893606307	0.63589822095697	0.74024585783004	1	959.110155
174	3.2602445438912	0.63778391759753	0.74042401567789	1	964.358897
175	3.2827400461488	0.6406690113778	0.74006769998218	1	969.622258
176	3.3154596208907	0.63757914790293	0.74167112061286	1	974.893894
177	3.2135148085084	0.63764955792971	0.74060217352574	1	980.130762
178	3.2250536486586	0.63957491643205	0.7407803313736	1	985.380827
179	3.220519145571	0.63927732980318	0.7411366470693	1	990.618286
180	3.2196903087519	0.63963706697834	0.74095848922145	1	995.836243
181	3.3052877487569	0.63739351403441	0.73953322643862	1	1001.099388
182	3.2520409720925	0.63933948034947	0.74095848922145	1	1006.386514
183	3.2699349511318	0.63929728339962	0.74042401567789	1	1011.68675
184	3.2562197629143	0.64015725069535	0.74202743630857	1	1016.992692
