Correct,Sid,Substep,KC,Prediction
1,153101,ex152b_select_principle,5,0.867459521
1,153101,ex152b_apply_principle,5,0.868062888
1,153101,ex152b_select_principle,6,0.709623982
1,153101,ex152b_apply_principle,6,0.709624292
1,153101,ex152b_select_principle,6,0.709624334
1,153101,ex152b_apply_principle,6,0.709624339
2,153101,ex152b_select_principle,4,0.597350378
1,153101,ex152b_apply_principle,4,0.557179324
1,153101,ex152b_select_principle,2,0.881518966
1,153101,ex152b_apply_principle,2,0.881518966
1,153101,ex152b_select_principle,4,0.650131826
1,153101,ex152b_apply_principle,4,0.685077231
1,153101,ex152b_select_principle,2,0.881518966
1,153101,ex152b_apply_principle,2,0.881518966
1,153101,ex152b_select_principle,2,0.881518966
1,153101,ex152b_apply_principle,2,0.881518966
1,153101,ex152b_select_principle,2,0.881518966
1,153101,ex152b_apply_principle,2,0.881518966
1,153101,ex152b_select_principle,2,0.881518966
1,153101,ex152b_apply_principle,2,0.881518966
1,153101,ex152_select_principle,5,0.86819881
2,153101,ex152_apply_principle,5,0.868229403
1,153101,ex152_select_principle,4,0.695762231
1,153101,ex152_apply_principle,4,0.69881504
1,153101,ex152_select_principle,2,0.881518966
1,153101,ex152_apply_principle,2,0.881518966
1,153101,ex152_select_principle,4,0.69967011
1,153101,ex152_apply_principle,4,0.699908272
1,153101,ex152_select_principle,2,0.881518966
1,153101,ex152_apply_principle,2,0.881518966
1,153101,ex152_select_principle,4,0.699974503
1,153101,ex152_apply_principle,4,0.699992914
1,153101,ex152_select_principle,2,0.881518966
1,153101,ex152_apply_principle,2,0.881518966
1,153101,ex152_select_principle,1,0.658898798
1,153101,ex152_apply_principle,1,0.692231205
1,153101,ex152_select_principle,2,0.881518966
1,153101,ex152_apply_principle,2,0.881518966
1,153101,ex152_select_principle,2,0.881518966
1,153101,ex152_apply_principle,2,0.881518966
1,153101,ex152_select_principle,2,0.881518966
1,153101,ex152_apply_principle,2,0.881518966
2,153101,ex144_select_principle,7,0.372459825
1,153101,ex144_apply_principle,7,0.655656931
1,153101,ex144_select_principle,2,0.881518966
1,153101,ex144_apply_principle,2,0.881518966
1,153101,ex212_select_principle,7,0.699263461
1,153101,ex212_apply_principle,7,0.699988529
1,153101,ex212_select_principle,8,0.591421144
2,153101,ex212_apply_principle,8,0.64985775
1,153101,ex212_select_principle,8,0.608737682
1,153101,ex212_apply_principle,8,0.659053506
1,153101,ex212_select_principle,2,0.881518966
1,153101,ex212_apply_principle,2,0.881518966
1,153101,ex242_select_principle,9,0.51196209
1,153101,ex242_apply_principle,9,0.602106219
1,153101,ex242_select_principle,8,0.683031188
1,153101,ex242_apply_principle,8,0.693214743
1,153101,ex242_select_principle,8,0.697326662
2,153101,ex242_apply_principle,8,0.698952936
1,153101,ex242_select_principle,7,0.699999822
1,153101,ex242_apply_principle,7,0.699999997
1,153101,ex242_select_principle,2,0.881518966
1,153101,ex242_apply_principle,2,0.881518966
1,153101,ex252a_select_principle,9,0.656665929
1,153101,ex252a_apply_principle,9,0.68241135
1,153101,ex252a_select_principle,2,0.881518966
1,153101,ex252a_apply_principle,2,0.881518966
1,153101,ex252_select_principle,9,0.693130364
2,153101,ex252_apply_principle,9,0.697358405
1,153101,ex252_select_principle,10,0.445738875
1,153101,ex252_apply_principle,10,0.594776344
2,153101,ex252_select_principle,2,0.881518966
2,153101,ex252_apply_principle,2,0.881518966
2,153101,ex252_select_principle,10,0.679288335
1,153101,ex252_apply_principle,10,0.642545846
1,153101,ex252_select_principle,10,0.698079339
1,153101,ex252_apply_principle,10,0.716691773
1,153101,ex252_select_principle,2,0.881518966
1,153101,ex252_apply_principle,2,0.881518966
1,153101,ex252_select_principle,10,0.722284492
1,153101,ex252_apply_principle,10,0.723908692
