153310	7995	5640	421	364	14510000
153311	7349	6082	408	384	4793000
153312	9535	6629	416	358	16367000
153313	8968	5560	416	348	7001000
153314	5693	5110	416	404	6356000
153315	8035	5895	413	360	5503000
153317	7991	5821	415	362	3550000
153318	8460	6765	408	368	6898000
153300	7193	5887	421	391	9766000
153301	8622	5903	415	358	9275000
153302	8382	5365	421	366	33985000
153303	8672	6015	414	349	13432000
153304	8088	6618	416	381	10581000
153305	7790	6446	416	386	12217000
153306	7189	6157	417	394	5610000
153307	9274	6877	409	365	9417000
153308	6813	5903	421	395	4690000
153309	8108	6139	425	381	10144000
153330	8572	6153	429	375	25451000
153210	8177	6691	410	378	5785000
153211	7845	6405	408	376	6314000
153332	9668	6663	416	361	8318000
153212	7033	6086	415	395	4460000
153333	6587	5283	421	398	17129000
153214	8256	6689	411	369	8686000
153336	6316	5557	421	404	5498000
153216	7210	5586	416	383	8558000
153337	7862	5561	410	364	23595000
153217	7405	5884	414	383	8381000
153338	7323	5389	420	382	8344000
153218	8016	6607	408	375	7993000
153339	7180	6337	414	393	8883000
153219	9046	7080	410	370	7805000
153321	8130	5185	415	356	6523000
153201	7973	7048	413	394	5748000
153202	8860	6665	416	361	11433000
153323	9991	5049	420	326	6067000
153203	7443	6697	421	403	5996000
153204	12019	4730	401	292	3801000
153325	7709	5393	411	360	7049000
153205	7930	6648	414	381	6264000
153327	6752	5262	421	391	9707000
153207	7689	5708	414	371	4865000
153328	9280	6825	408	353	9897000
153208	7789	5782	416	371	7760000
153329	7739	7209	410	392	13117000
153209	8387	6866	410	376	6179000
153197	7831	5602	422	377	9375000
153199	7613	5695	410	372	8266000
153188	6961	6140	411	393	4920000
153189	8323	6659	409	373	6227000
153190	7273	6210	416	388	2538000
153191	7572	6277	420	387	17479000
153192	8936	6708	415	362	7659000
153193	8233	7124	408	379	6960000
153194	8154	6557	410	373	6516000
153195	7619	5567	415	371	6886000
153196	7747	6709	414	387	7136000
153153	8728	6378	429	373	7800000
153154	8451	6534	408	369	8831000
153275	8776	7469	407	378	5427000
153277	9994	4877	419	336	11149000
153157	9259	7013	409	357	8127000
153278	6655	5723	425	404	10601000
153279	8205	6602	411	373	9525000
153159	8588	6245	415	363	14010000
153280	9608	6694	414	346	5502000
153160	8234	6644	416	379	10477000
153281	8953	6802	415	367	13316000
153161	6415	6045	415	407	4681000
153282	8582	6218	454	405	25016000
153162	8368	6905	408	374	7866000
153163	8930	7341	408	367	9386000
153284	6960	5940	415	394	14238000
153142	7171	5814	414	384	8927000
153263	8299	7037	414	383	15884000
153143	7844	6194	416	377	4919000
153264	7025	6471	415	402	7731000
153144	6616	6144	416	404	4379000
153265	9273	6967	410	355	6815000
153145	8447	7019	412	380	8022000
153266	8088	6445	415	375	9208000
153267	6809	6165	421	402	6170000
153147	8402	7254	413	384	5584000
153268	8214	6991	409	380	7090000
153148	7497	6463	416	390	3965000
153269	8949	5362	416	343	10602000
153149	8687	7780	409	388	5307000
153270	8891	6381	415	357	14247000
153150	8475	6471	419	379	11099000
153271	7527	5939	421	386	23200000
153151	9104	4818	416	341	8806000
153272	8061	6507	409	371	10093000
153152	8033	6536	408	369	5869000
153273	7519	5790	415	379	6418000
153175	10647	6269	414	323	6076000
153296	5461	4926	421	409	1978000
153176	8771	6111	417	356	5117000
153297	6893	6225	409	391	5533000
153177	11830	4774	402	294	3951000
153298	8889	7186	416	381	7554000
153299	7566	5693	417	378	5105000
153179	8676	6119	414	352	6348000
153180	6316	5433	415	396	8532000
153181	7461	5855	415	379	5151000
153182	9181	7308	414	371	4533000
