de_morgan
	153310	3	6	1934000
	153311	7	8	318000
	153312	7	12	806000
	153313	7	12	720000
	153315	4	8	364000
	153317	0	4	281000
	153318	8	12	761000
	153300	2	6	1550000
	153301	6	12	589000
	153302	3	6	528000
	153303	5	12	1044000
	153304	6	12	2295000
	153305	5	7	1055000
	153306	1	4	629000
	153307	8	12	604000
	153308	3	4	127000
	153309	1	4	331000
	153330	6	9	637000
	153210	10	12	460000
	153211	7	12	572000
	153332	4	12	983000
	153212	2	3	198000
	153333	2	4	303000
	153214	9	12	817000
	153336	1	2	302000
	153216	3	6	187000
	153337	1	5	2416000
	153217	6	9	863000
	153338	2	2	94000
	153218	8	12	811000
	153339	7	8	1085000
	153219	7	12	793000
	153321	3	8	713000
	153201	10	12	465000
	153202	5	12	436000
	153323	7	12	526000
	153203	5	6	275000
	153204	0	8	425000
	153325	1	4	364000
	153205	2	2	198000
	153327	1	2	136000
	153207	4	7	277000
	153328	9	12	681000
	153208	2	4	165000
	153329	12	12	1088000
	153209	9	12	532000
	153197	0	2	71000
	153199	2	6	1503000
	153188	6	6	305000
	153189	5	12	619000
	153190	1	3	111000
	153191	4	6	1277000
	153192	9	12	383000
	153193	10	12	761000
	153194	7	12	489000
	153195	8	12	477000
	153196	3	6	376000
	153153	7	12	542000
	153154	5	9	915000
	153275	8	12	505000
	153277	0	8	536000
	153157	7	12	663000
	153278	4	6	1232000
	153279	7	8	833000
	153159	8	12	4619000
	153280	8	12	406000
	153160	8	12	787000
	153281	9	12	675000
	153161	6	6	161000
	153282	6	12	2595000
	153162	7	12	829000
	153163	10	12	804000
	153284	7	10	1149000
	153142	1	5	686000
	153263	7	12	1564000
	153143	5	7	172000
	153264	2	2	224000
	153144	7	8	240000
	153265	8	12	560000
	153145	8	12	1254000
	153266	5	10	1156000
	153267	2	4	397000
	153147	10	12	406000
	153268	7	10	264000
	153148	5	8	298000
	153269	3	5	1030000
	153149	10	12	300000
	153270	6	12	2017000
	153150	7	11	830000
	153271	5	5	1070000
	153151	0	7	1324000
	153272	4	6	494000
	153152	9	12	586000
	153175	6	12	533000
	153176	4	12	386000
	153297	4	5	168000
	153177	2	10	266000
	153298	9	12	643000
	153299	3	6	331000
	153179	6	12	573000
	153180	5	8	613000
	153181	1	3	270000
	153182	5	12	312000
	153184	12	12	349000
	153185	5	12	955000
	153164	2	4	667000
	153285	4	5	504000
	153165	8	12	545000
	153286	0	5	958000
	153166	4	7	394000
	153167	4	12	790000
	153288	11	12	570000
	153168	9	12	596000
	153289	3	8	698000
	153169	1	9	625000
	153170	9	12	477000
	153171	10	12	766000
	153292	5	12	501000
	153172	10	12	356000
	153293	10	12	574000
	153173	5	10	1257000
	153294	5	12	688000
	153230	9	12	1095000
	153351	2	8	447000
	153110	6	6	293000
	153231	0	2	52000
	153111	5	6	397000
	153353	7	12	1583000
	153112	8	12	432000
	153233	9	12	470000
	153113	3	4	262000
	153234	2	7	942000
	153235	6	12	595000
	153115	1	2	1127000
	153236	5	12	912000
	153357	8	12	1908000
	153116	10	12	491000
	153117	5	6	263000
	153239	7	12	882000
	153119	1	4	417000
	153360	12	12	748000
	153240	2	4	297000
	153340	1	8	4007000
	153220	3	10	560000
	153100	5	6	383000
	153221	9	12	862000
	153342	4	11	1223000
	153101	10	12	363000
	153222	7	12	364000
	153343	7	12	756000
	153102	9	10	647000
	153223	3	3	115000
	153103	7	12	907000
	153345	5	8	347000
	153104	11	12	698000
	153225	3	4	226000
	153346	7	12	1169000
	153105	8	12	681000
	153226	4	6	238000
	153347	3	4	182000
	153227	7	12	522000
	153348	7	12	552000
	153107	4	6	284000
	153228	1	4	275000
	153349	4	10	1821000
	153108	0	1	128000
	153229	4	6	401000
	153109	10	12	682000
	153131	10	12	766000
	153132	11	12	553000
	153133	6	7	465000
	153254	3	6	342000
	153134	9	12	621000
	153255	3	5	459000
	153135	10	12	539000
	153136	4	6	382000
	153257	4	6	467000
	153137	4	7	1431000
	153258	8	12	818000
	153138	5	6	905000
	153259	0	4	257000
	153139	2	6	316000
	153260	10	12	259000
	153140	3	7	317000
	153261	7	12	675000
	153141	5	8	676000
	153120	1	6	263000
	153241	9	12	775000
	153242	8	12	519000
	153363	5	7	260000
	153122	5	6	150000
	153243	2	4	362000
	153123	6	11	309000
	153244	3	8	615000
	153124	4	5	196000
	153245	10	12	701000
	153367	8	12	802000
	153247	1	6	323000
	153248	8	12	526000
	153369	3	7	846000
	153128	4	7	502000
	153249	7	12	792000
	153129	7	12	541000
	153370	10	12	915000
	153250	8	12	522000
	153371	6	14	6557000
	153130	7	10	1693000
	153251	9	12	762000
conditional_independent_events
	153153	2	9	556000
	153154	10	12	790000
	153275	9	12	418000
	153277	0	4	71000
	153310	3	6	2028000
	153157	5	12	1392000
	153279	8	11	1067000
	153312	7	12	868000
	153159	8	12	932000
	153313	2	6	317000
	153315	4	7	332000
	153317	6	8	234000
	153280	6	12	398000
	153160	8	12	1490000
	153281	7	12	368000
	153282	3	7	1079000
	153163	7	12	992000
	153284	9	12	894000
	153142	5	8	1050000
	153143	7	12	565000
	153264	8	11	513000
	153265	8	12	649000
	153145	11	12	584000
	153266	8	9	570000
	153301	6	12	577000
	153269	3	8	412000
	153302	0	7	582000
	153149	12	12	285000
	153303	6	12	807000
	153305	6	10	634000
	153306	6	8	336000
